"CALL #(ITEM)","TOT CHKOUT","INTL USE "
"CD1733 .T78 1959","0","0"
"PN5082 .R45 2009","0","0"
"NK3850 .P56 2010","1","0"
"DG55.S2 B45 2010","1","0"
"UA672 .D35 2010","0","0"
"DG70.T35 A73 2009","0","0"
"F1226.5.U6 C76 2008","1","0"
"PQ4710 .C3353 2010","0","0"
"F787 .C85 2008","1","0"
"PQ6713.A782 H55 2009","0","0"
"PQ6647.A514 Z56 2009","0","0"
"PQ8498.41.G84 M3 2009","0","0"
"PQ6601.L23 Z55 2008","0","0"
"PQ3989.3.S43 D8 2009","1","0"
"PT9877.22.A78 B5613 2008","8","0"
"DT2996 .N38 2009","2","0"
"JK2316 .G55 2005","0","0"
"PR6005.H66 Z512 2010","5","1"
"HQ1172 .M36 2003","2","0"
"HB2123.3.A3 S87 2010","0","0"
"DL83 .W37 2009","1","2"
"BV207 .H57 2008","3","0"
"BS1192.5 .F564 2004","3","1"
"BS1225.52 .P46 2007","2","0"
"HE355.3.C64 T73 2010","1","1"
"D21 .A113 2007","2","2"
"JV7409.Z6 T633 2009","0","0"
"PQ3989.2.B26 E6 2010","0","0"
"JL2498.T7 P48 1996","2","0"
"PS3554.A925 G75 1998","1","0"
"TR680 .B63 2009","1","0"
"JF511 .S54 2010","0","0"
"DK219.6.K87 A3 2010","0","0"
"D805.A2 P753 2010","1","0"
"PQ4723.G53 G54 2010","0","0"
"PQ4861.N34 C67 2009","0","0"
"F596 .D385 2010","2","0"
"B5305 .A39 2009","0","0"
"DA536.C6 A4 2007","0","0"
"PQ4882.O44 F67 2010","0","0"
"PQ5904.S52 C37 2009","0","0"
"HQ1236.5.R8 B45 2008","0","0"
"GF9 .G46 2009","2","0"
"TR85 .S75 2009","0","0"
"PG3229 .N6872 2009","0","0"
"JV7398 .E53 2009","1","0"
"DP86.C28 V57 2010","0","0"
"CC97.R9 F679 2008","1","0"
"PQ3989.2.Y33 H5 2009","0","0"
"PQ8498.26.A35 A6 2009","1","0"
"P302.8 .S64 2008","0","0"
"JS5395 .V49 2010","0","0"
"HV7911.Y84 A3 2008","0","0"
"DK236.K6 G75 2008","0","0"
"HB103.S6 F67 2010","4","0"
"HM1033 .A38 2010","14","1"
"JQ1516 .C433 2010","4","1"
"GN799.C45 A74 2010","4","1"
"JK585 .W46 2003","0","1"
"HS1507.V8 P48 2010","0","0"
"HC435.3 .G875 2009","0","0"
"KZ1203.A12 N48 2010","6","0"
"GN33 .W283 2010","1","1"
"JK1929.A2 R57 2010","3","0"
"BF697 .H438 2010","3","0"
"JN1415 .R44 2009","1","0"
"HV4075.R53 P47 2010","15","1"
"HD9000.6 .K37 2010","0","2"
"HV1451 .G64 2010","2","0"
"HQ784.W3 C38 2010","2","1"
"HM1241 .F56 2010","3","0"
"HM621 .T477 2010","1","0"
"GN380 .I53 2010","6","0"
"JC571 .W423 2010","6","1"
"K1401 .I58 2010","1","0"
"HB615 .I5754 2010","0","1"
"HV1448.P4 B64 2010","1","0"
"HQ1236.5.I73 K44 2010","0","0"
"KBP440.3 .E46 2010","2","0"
"HD58.7 .D383 2010","1","1"
"HV887.I82 F558 2010","5","0"
"KF9625 .W75 2010","2","0"
"HB105.R8 C55 2010","0","0"
"HQ1170 .M8475 2010","9","0"
"JZ1305 .S385 2009","0","4"
"K487.T4 T54 2010","0","0"
"HD4605 .S74 2010","2","0"
"BF109.E95 B83 2010","2","0"
"DS385.J5 M48 2010","1","0"
"HM1091 .T76 2010","0","0"
"JV61 .P33 2010","7","0"
"HD4870.U6 F78 2010","0","0"
"HC79.C6 S63 2010","0","0"
"HT177.L7 P48 2010","0","0"
"HC59.7 .U58 2007","1","0"
"JC11 .B48 2010","1","0"
"BF575.I5 S87 2010","3","0"
"HB615 .T74 2010","0","0"
"HE2771.A14 G73 2010","1","0"
"U155.E85 W37 2010","2","1"
"HB95 .S33 2010","12","0"
"HV6433.N42 H64413 2010","1","0"
"HQ1149.G7 A64 2010","3","0"
"GT2853.U5 Z54 2010","7","0"
"HQ1236.5.G7 M37 2010","0","0"
"HQ767.15 .L44 2010","1","0"
"JK1764 .C535 2010","1","0"
"HQ76.3.U5 H468 2010","8","1"
"JC599.G7 E95 2010","0","0"
"BF441 .B46 2010","0","0"
"JK2281 .A26 2010","4","0"
"GN296 .C47 2010","4","0"
"HB171 .B76 2010","2","1"
"GF71 .H48 2010","1","0"
"GN502 .B455 2010","0","0"
"HQ1061 .C655 2010","0","0"
"JK1118 .P46 2010","3","0"
"JZ1163 .F74 2010","1","0"
"GV1060.6 .T87 2010","2","0"
"HN373.5 .B397 2010","2","0"
"HQ1155 .T66 2010","2","0"
"LB2341.98 .J64 2010","5","0"
"RB155.8 .K56 2010","0","0"
"G735 .G56 2010","1","0"
"H51 .H57 2010","1","0"
"LC226 .S87 2010","0","1"
"HQ1630.5 .G84 2010","3","1"
"HV9592.5.A77 S2713 2010","1","1"
"HE308 .F87 2010","5","1"
"HJ8899 .O94 2010","2","0"
"HV636 2005.N4 P44 2010","6","0"
"JL3081 .T67 2010","6","1"
"GV571 .R58 2010","1","0"
"GT2752.R65 H47 2010","11","1"
"HN85.A3 A85 2010","4","1"
"RA418.3.U6 B36 2010","6","0"
"BF57 .S63 2010","0","0"
"JC328.7 .U54 2010","3","1"
"GV1786.U73 G46 2010","3","0"
"HM851 .S77 2010","12","1"
"HQ1762 .H643 2010","7","0"
"HQ1236.5.L37 W665 2010","13","1"
"HQ799.2.W37 S33 2010","2","0"
"DK511.V9 G56 2009","0","0"
"HD8039.F32 I525 2009","0","1"
"DK552 .Z266 2009","1","0"
"PS3554.A925 M35 1997","1","0"
"HC340.12.Z9 D4386 2005","0","0"
"DS649.7 .E27 2009","1","1"
"DF853.5.V53 A3 2009","1","0"
"DS135.G5 B55 2004","0","0"
"DD247.G35 S78 2008","0","0"
"BV4501.3 .D882 2003","0","0"
"HD9502.R82 V65 2008","0","0"
"PQ3989.2.K576 L5 2009","0","0"
"H61 .S775 2010","3","1"
"HQ1662 .P66 2009","1","0"
"DH689.S4 V47 2010","0","0"
"DK511.V65 M357 2009","0","1"
"DG575.M8 S43 2010","0","1"
"BQ349.M38 G87 2009","2","1"
"HB871 .S28 2008","1","0"
"DT515.45.Y67 A35 2010","3","1"
"PQ7798.17.O32 D53 2008","0","0"
"PN5499.E8 B57 2009","0","0"
"HT127.5 .P63 2009","0","0"
"HQ1170 .Z47 2009","1","0"
"PQ4916.A36 U66 2010","0","0"
"NA327.T5 V555 2010","2","0"
"PQ4817.O9 Z97 2009","3","0"
"BD331 .V68 2010","1","0"
"PQ4873.A891775 F35 2010","0","0"
"P381.S6 C55 2007","1","0"
"DG571 .F17 2009","0","0"
"Z490.3 .C433 2009","0","0"
"HD8118.5.G8 F58 2009","0","0"
"PE2402 .C67 2010","0","0"
"BL803 .R475 2010","1","0"
"DK35 .P44 2006","0","0"
"PQ7082.S26 P647 2009","8","2"
"HQ792.L3 I54 2009","0","0"
"E184.M88 A39 2010","5","0"
"DQ36 .K63 2010","0","0"
"JV6483 .W47 2010","4","0"
"E183.8.C9 H83 2010","5","1"
"TF86.M64 S46 2004","1","0"
"BD236 .G88 2010","0","0"
"DS371.412 .O37 2010","3","0"
"BX1735 .S58 2010","4","0"
"PR9265.9.W95 H55 2010","3","0"
"HM1121 .K66 2010","0","0"
"U167.5.S68 D48 2010","2","0"
"PL8202.1 .N78 2006","0","0"
"GB1773.E7 T44 2009","0","0"
"DT549.63.M44 F35 2003","1","0"
"PN48 .V58 2009","0","0"
"JV7398 .N33 2009","3","0"
"JZ1318 .A378 2008","1","0"
"B824.2 .A38 2006","1","0"
"KGF8129 .L66 2009","0","0"
"BP195.M67 S35 2010","1","1"
"HV6815.C58 S44 2007","0","0"
"JV7398 .P78 2008","0","0"
"HC830 .A23 2010","1","0"
"LC191.94 .P37 2010","1","1"
"HM1211 .A65 2010","0","0"
"HM1166 .A65 2010","2","1"
"JV6465 .B657 2010","5","0"
"HC420.3 .O93 2010","1","0"
"HC60 .C446 2010","3","0"
"HQ789 .A67 2010","1","0"
"UA855.7 .S64 2010","2","7"
"HG4538.52 .R53 2010","2","1"
"HQ799.95 .C65 2010","3","2"
"HV636 2005.G85 C68 2010","2","0"
"HV95 .C75 2010","0","1"
"GV865.S86 A35 2010","2","0"
"HM477.E85 D43 2010","0","0"
"HB72 .D88 2010","0","1"
"LC3665.G7 P46 2010","3","0"
"HD75.6 .M37 2010","0","0"
"HV5822.Q3 B43 2010","0","0"
"HV6433.C55 G86 2010","2","1"
"BF233 .E94 2010","2","1"
"HD69.B7 B75 2010","1","0"
"LB1590.3 .G45 2010","1","0"
"HN18.3 .G556 2010","1","1"
"JF799 .H45 2010","0","0"
"HG3881.5.I58 M67 2010","2","3"
"HD30.23 .H354 2010","0","0"
"HD61 .C367 2010","2","0"
"BF515 .B56 2010","7","0"
"KF8204 .E23 2010","5","0"
"HV6431 .I5844 2010","1","0"
"HF1379 .I5789 2010","3","0"
"HV6433.I73 G36 2010","0","0"
