CALL #(ITEM),TOT CHKOUT,INTL USE 
AC106 .B368 2012,0,0
AC106 .H39 2011,0,0
AC146 .S526 2000,0,0
AC150 .T335 2013,2,0
AC150 .Y26 2013,1,0
AC8 .W665 2014,1,0
AE55 .B59 2004,0,0
AE55 .B59 2004,0,0
AM141 .S57 2012,0,0
"AS182 .M823 2013, Heft 2",2,0
AS222 .F5 no. 40,0,0
AS262.A68 B372 2013,0,0
AS267.V55 K89 2014,2,0
AY417 .L87 2014,0,0
AZ103 .H86 2013,6,0
AZ186 .M35 2014,2,0
AZ195 .J66 2014,3,0
AZ195 .L58 2013,1,0
AZ601 .C67 2014,0,0
AZ791 .W8254 2013,0,0
B1 .A136 Bd.36,0,0
B1001 .C38 2011,3,0
B1028 .C56 2010,0,0
B1028 .N47 2013,5,0
B105.A3 B69 2014,0,0
B105.A35 R43 2013,4,0
B105.A55 A54 2013,0,0
B105.A55 R33 2013,5,0
B105.B64 C65 2013,0,1
B105.B64 J48 2010,0,0
B105.B64 N564 2011,2,0
B105.C75 R65 2014,1,0
B105.D48 D53 2014,5,0
B105.D5 L3734 2013,0,0
B105.F66 B34 2014,2,0
B105.F66 B65 2014,1,0
B105.H32 C37 2014,1,0
B105.H32 H57 2013,3,0
B105.H36 S55 2013,0,0
B105.H36 V58 2014,1,0
B105.H8 R4638 2008,0,0
B105.H8 R4638 2008,0,0
B105.I47 A55 2013,2,0
B105.I47 I477 2013,2,0
B105.I47 K86 2014,2,0
B105.I47 S483 2012,0,0
B105.I49 B68 2013,1,0
B105.I49 M67 2013,2,0
B105.I56 C73 2013,1,0
B105.I57 P55 2014,0,0
B105.J87 F68 2012,0,0
B105.L45 B33 2013,0,0
B105.M4 P74 2013,0,0
B105.N4 N67 2013,6,0
B105.P4 F69 2014,1,0
B105.P4 P43 2014,0,0
B105.P4 W46 2013,0,0
B105.P53 T39 2014,0,1
B105.P64 W54 2013,0,0
B105.R23 M33 2013,3,1
B105.R25 K75 2013,2,0
B105.R4 J33 2013,0,0
B105.R47 C39 2013,3,0
B105.R47 H37 2012,1,0
B105.S64 R66 2013,0,0
B105.T54 E85 2013,2,0
B105.V5 B47 2013,2,0
B105.W25 G7613 2014,9,0
B1076 .T35 2013,0,0
B1079.V34 A63 2012,0,0
B1084.N863 N86 2012,1,0
B121 .B73 2014,0,0
B121 .M37 2013,0,0
B1247 .L534 2012,0,0
B126 .F365 2012,0,0
B126 .F73 2012,0,0
B126 .L4945 2012,0,0
B126 .S48 2012,0,0
B126 .S6453 2014,8,0
B126 .X53 2012,3,0
B127.A88 Z43 2013,0,0
B127.C65 C29 2012,1,0
B127.C65 C73 2013,1,0
B127.C65 I93 2013,0,0
B127.C65 L494 2014,1,2
B127.C65 X89 2013,0,0
B127.C65 Y825 2012,0,0
B127.I2 H825 2012,1,0
B127.L5 Z565 2013,1,0
B127.N4 L5886 2013,0,0
