"CALL #(ITEM)","TOT CHKOUT","INTL USE "
"DD91 .G47 Bd. 65","0","0"
"PS350 .C37 2007","21","3"
"PJ8414.5.E5 A53 2007","1","3"
"PR1924 .W55 2007","1","2"
"PN5123.P46 S63 2007","0","0"
"PR411 .H43 2008","8","2"
"DS119.76 .C38 2008","0","0"
"BX5005 .A95 2007","5","0"
"PS303 .M64 2008","1","1"
"PR9272.9.R346 A44 2007","1","0"
"P118 .C6738 2008","0","1"
"LB1027.55 .H37 2008","1","0"
"PR6069.H453 H65 2007","1","0"
"PQ7390.P32 V5413 2008","4","1"
"PQ3944 .H43 2008","1","0"
"PN1992.77.G54 G55 2008","11","0"
"PN1998.3.U46 E34 2008","1","1"
"PR551 .P73 2008","1","0"
"DD280 .G37 no. 69","2","0"
"E183.8.G7 A525 2007","4","1"
"GE220 .S44 2008","3","3"
"GN635.C5 G86 2008","5","0"
"E184.7 .T43 2008","3","1"
"P302.7 .T49 2008","5","2"
"PN6725 .N65 2008","4","1"
"PS3242.P64 S73 2008","1","1"
"JA85.2.U6 W43 2008","4","0"
"E523.6 21st .D66 2008","0","0"
"E457.25 .E67 2008","5","0"
"PR3716 .A84 2008","2","0"
"DA16 .C56 2008","3","1"
"E851 .C63 2008","9","0"
"BR115.P7 S437 2008","16","0"
"PR9199.4.C379 T35 2008","1","0"
"F566 .R83 2008","2","1"
"PR1928.M45 M46 2008","5","0"
"DG737.9 .S56 2008","2","1"
"BX3502.3 .T69 2007","0","0"
"PN1997.A32253 M85 2008","3","2"
"DK4382 .S99 2008","0","0"
"PE1128.A2 P49 2008","3","0"
"D810.N4 P4756 2008","1","0"
"PN1995.9.M52 H39 2008","10","2"
"PS3557.A7114 T63 2008","2","0"
"PH3291.N83 U92 2007","0","0"
"PN4874.J24 R83 2008","0","0"
"PS3552.A3613 P46 2008","2","0"
"DS119.76 .M3395 2008","3","0"
"PR6116.E77 O73 2006","1","1"
"PS3557.U846 O75 2008","8","0"
"BD450 .D263 2008","2","0"
"E841 .D573 2008","13","3"
"PQ2625.A755 A2 2007","0","0"
"BS476 .L49 2008","5","0"
"F832.U8 F37 2008","7","0"
"E885 .G55 2008","2","0"
"P116 .M25 2008","1","0"
"BL2610 .R35 2008","2","0"
"HV8699.G8 B37 2007","3","0"
"PL2687.F3 W8213 2008","0","0"
"LB1062 .C683 2008","0","1"
"HV9145 .D53 2008","0","0"
"PG3479.6.E428 M65 2006","2","0"
"HA994 1960","1","0"
"BF173.F85 S795 2008","7","2"
"JN297.F43 F43 2007","0","0"
"BF311 .E885 2007","1","0"
"HM851 .S5465 2008","21","0"
"DA591.C3555 A3 2008","0","0"
"LB1050 .E394 2007","0","0"
"D774.M5 S625 2007","8","2"
"DC151 .E69 2007","4","1"
