Subject,Total Items,Total Usage,Items/Usage Rate
General Works,63,25,2.52
"Philosophy, Psychology, Religion",3116,982,3.17
Aux Sci History,199,81,2.46
World History,4503,1064,4.23
American History,735,394,1.87
Local American History,1026,283,3.63
"Geography, Anth, Recreation",694,234,2.97
Social Sciences,3401,1130,3.01
Poli Sci,1032,372,2.77
Law,461,94,4.9
Education,818,223,3.67
Fine Arts,210,35,6.0
Language-Literature,14032,4036,3.48
Science,30,8,3.75
Medicine,243,115,2.11
Technology,180,88,2.05
Military Sci,129,44,2.93
Naval Science,15,4,3.75
Library Science,123,40,3.08
