Subject,Total Items,Total Usage
General Works,4,14
"Philosophy, Psychology, Religion",5378,15048
Aux Sci History,548,950
World History,6980,13601
American History,1568,5823
Local American History,1787,4693
"Geography, Anth, Recreation",1682,4879
Social Sciences,8783,21996
Poli Sci,2352,5478
Law,835,1822
Education,1948,5678
Music,0,0
Fine Arts,692,789
Language/Literature,20755,41858
Science,285,796
Medicine,1081,4211
Agriculture,0,0
Technology,293,1097
Military Sci,514,1397
Naval Science,93,301
Library Science,260,365
